year,inflation
1990-01-01,5.39
1991-01-01,4.25
1992-01-01,3.03
1993-01-01,2.95
1994-01-01,2.61
1995-01-01,2.81
1996-01-01,2.93
1997-01-01,2.34
1998-01-01,1.55
1999-01-01,2.19
2000-01-01,3.38
2001-01-01,2.83
2002-01-01,1.59
2003-01-01,2.27
2004-01-01,2.68
2005-01-01,3.39
2006-01-01,3.24
2007-01-01,2.85
2008-01-01,3.85
2009-01-01,-0.34
2010-01-01,1.64
2011-01-01,3.16
2012-01-01,2.07
2013-01-01,1.47
2014-01-01,1.62
2015-01-01,0.12
2016-01-01,1.26
2017-01-01,2.13
